                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.56921,                0.35609,                0.89361,                0.86221,                0.80116,                0.83559,                0.52464,                 1.2911,                0.73479,                 1.5097,               0.005875,               0.005875,               0.005875
                    127,                0.57497,                0.35553,                0.90617,                0.87395,                0.77738,                0.83029,                0.52762,                 1.2746,                0.75061,                 1.5179,               0.005842,               0.005842,               0.005842
                    128,                 0.5811,                0.36418,                0.90405,                0.87418,                0.80025,                0.84688,                0.52346,                 1.2996,                0.77407,                 1.5805,               0.005809,               0.005809,               0.005809
                    129,                0.59456,                0.36661,                0.92714,                0.89448,                0.79398,                0.84899,                0.53916,                 1.2736,                 0.7378,                 1.5828,               0.005776,               0.005776,               0.005776
                    130,                0.58252,                0.35426,                0.90135,                0.89796,                 0.8026,                 0.8481,                0.53935,                 1.2865,                0.72148,                 1.5827,               0.005743,               0.005743,               0.005743
                    131,                0.58312,                0.36641,                0.90692,                0.91574,                0.79362,                0.85116,                 0.5306,                 1.2947,                0.73184,                 1.5983,                0.00571,                0.00571,                0.00571
                    132,                 0.5574,                0.34966,                0.89736,                0.90852,                0.79882,                 0.8467,                0.52692,                 1.2983,                 0.7411,                 1.5893,               0.005677,               0.005677,               0.005677
                    133,                0.56784,                0.35739,                0.89587,                0.87475,                  0.808,                0.84458,                0.52481,                 1.2954,                0.73791,                  1.578,               0.005644,               0.005644,               0.005644
                    134,                0.56758,                0.35513,                0.89646,                0.88082,                 0.8112,                 0.8552,                0.53908,                 1.2934,                0.73713,                 1.5492,               0.005611,               0.005611,               0.005611
                    135,                0.56446,                0.35127,                0.90262,                0.87907,                0.81283,                0.85114,                0.53886,                 1.2824,                0.70285,                 1.5011,               0.005578,               0.005578,               0.005578
                    136,                0.55793,                0.36192,                0.89877,                0.86274,                0.83044,                0.86083,                0.54713,                 1.2797,                0.70833,                  1.506,               0.005545,               0.005545,               0.005545
                    137,                0.55905,                0.35154,                0.89564,                0.85544,                0.82844,                0.86001,                0.54621,                 1.3025,                0.71875,                 1.5367,               0.005512,               0.005512,               0.005512
                    138,                0.55753,                0.35592,                0.90691,                0.91125,                 0.8044,                0.87236,                0.55395,                 1.2803,                0.69995,                 1.5112,               0.005479,               0.005479,               0.005479
                    139,                 0.5518,                0.34731,                 0.8939,                 0.9125,                0.78955,                0.85599,                0.54414,                 1.2788,                0.70191,                 1.5192,               0.005446,               0.005446,               0.005446
                    140,                0.55517,                0.34534,                0.89865,                 0.8804,                0.80702,                0.84926,                0.54211,                  1.304,                0.72937,                 1.5555,               0.005413,               0.005413,               0.005413
                    141,                0.57572,                0.35868,                0.90321,                0.90359,                0.78389,                0.84364,                0.54256,                 1.2974,                0.72762,                 1.5712,                0.00538,                0.00538,                0.00538
                    142,                0.56087,                  0.354,                0.89989,                0.88769,                0.80689,                0.85005,                0.54637,                 1.2975,                 0.7398,                 1.6048,               0.005347,               0.005347,               0.005347
                    143,                0.55543,                0.35256,                 0.9011,                0.89244,                0.80172,                0.84349,                0.53514,                 1.2965,                0.71122,                 1.5753,               0.005314,               0.005314,               0.005314
                    144,                0.56288,                0.35032,                0.90495,                0.86442,                0.81194,                 0.8412,                0.52443,                 1.2951,                0.73219,                 1.6012,               0.005281,               0.005281,               0.005281
                    145,                0.56522,                0.35585,                0.90161,                0.85986,                0.82807,                0.83827,                0.52614,                 1.2952,                0.71811,                 1.5568,               0.005248,               0.005248,               0.005248
                    146,                0.56992,                0.36059,                0.91354,                0.80267,                0.83888,                0.85004,                0.54133,                 1.2798,                0.71325,                 1.5196,               0.005215,               0.005215,               0.005215
                    147,                0.55865,                0.36555,                0.89742,                 0.8477,                0.81391,                0.84896,                0.53697,                  1.276,                 0.6938,                 1.5237,               0.005182,               0.005182,               0.005182
                    148,                0.56296,                0.35174,                0.89319,                0.89321,                0.80062,                0.84998,                0.53786,                 1.2629,                0.70089,                 1.4859,               0.005149,               0.005149,               0.005149
                    149,                0.55345,                0.35247,                0.89774,                0.89524,                0.80309,                 0.8588,                0.53758,                 1.2771,                0.73995,                 1.4945,               0.005116,               0.005116,               0.005116
                    150,                0.56097,                0.35316,                0.89364,                 0.8889,                0.82898,                0.86663,                0.53743,                 1.2693,                0.69643,                  1.539,               0.005083,               0.005083,               0.005083
                    151,                0.56502,                0.35552,                  0.898,                0.88521,                 0.8401,                0.87386,                0.54622,                  1.257,                0.70442,                 1.5369,                0.00505,                0.00505,                0.00505
                    152,                0.54312,                0.34726,                0.89625,                 0.8872,                0.78447,                0.85121,                0.53914,                 1.2823,                0.72547,                 1.5456,               0.005017,               0.005017,               0.005017
                    153,                0.56211,                  0.352,                0.89522,                0.86504,                0.81763,                0.85762,                0.53795,                 1.2969,                0.69663,                 1.5566,               0.004984,               0.004984,               0.004984
                    154,                0.58501,                0.36535,                0.90723,                0.89043,                0.79526,                0.84531,                0.53086,                 1.2804,                 0.7072,                 1.5167,               0.004951,               0.004951,               0.004951
                    155,                0.55019,                0.34722,                0.90033,                0.88716,                0.82081,                0.87072,                0.54503,                 1.2786,                 0.6986,                 1.5117,               0.004918,               0.004918,               0.004918
                    156,                0.54579,                0.33317,                0.88861,                0.88883,                0.83611,                0.87624,                0.55631,                 1.2801,                0.70156,                 1.5217,               0.004885,               0.004885,               0.004885
                    157,                 0.5686,                0.35106,                0.89975,                0.90267,                0.81643,                0.87568,                0.55564,                 1.2815,                0.69495,                 1.5022,               0.004852,               0.004852,               0.004852
                    158,                0.56275,                0.35501,                0.90077,                0.87512,                0.82228,                0.86158,                0.54348,                 1.2855,                0.68505,                  1.532,               0.004819,               0.004819,               0.004819
                    159,                0.55677,                0.34997,                0.89739,                0.91569,                 0.8078,                0.85837,                0.54701,                 1.2852,                 0.7045,                 1.5465,               0.004786,               0.004786,               0.004786
                    160,                0.54378,                0.33762,                0.89481,                0.90031,                0.79409,                0.85926,                0.55352,                 1.2735,                0.71517,                   1.57,               0.004753,               0.004753,               0.004753
